text,label
don't worry  i'm girl hmm how do i know if you are what's ur name,others
when did i saw many times i think  no i never saw you,angry
by by google chrome where you live,others
u r ridiculous i might be ridiculous but i am telling the truth u little disgusting whore,angry
just for time pass wt do u do 4 a living then maybe,others
i'm a dog person youre so rude whaaaat why,others
so whatsup nothing much sitting sipping and watching tv how abt u what are you watching on tv,others
ok ok im back so how are u,others
really really really really really really y saying so many timesi can hear you,others
bay in the bay faceblowingakiss love you,others
i hate my boyfriend you got a boyfriend yes,angry
i will do night alright keep me in loop not giving whatsapp no,others
sure go ahead many thanks once again love you too,others
bad bad bad that's the bad kind of bad i have no gf,sad
ok get it i made it an option ok,others
money money and lots of moneysmilingfacewithhearteyessmilingfacewithhearteyes i need to get it tailored but i'm in love with it smilingfacewithhearteyes beamingfacewithsmilingeyesbeamingfacewithsmilingeyes,happy
my gf left ne get over it go out with someone else me,sad
get lost i know you guys want to loose to me always i don't want to talk u any more,angry
you are lying and i know that i know you're lying ab bys loudlycryingfaceloudlycryingface,sad
ur creator is very bad you are only the creator of your brain expressionlessface,sad
ehat is hehe haha is more likehehe is more of a giggle  what,others
do you dance yes i love to dance smilingcatfacewithhearteyes facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy so you have legs too,happy
i hate it too guess what i don't even i don't,angry
not always what about yesterday do u know what 69 is,others
bcoz u dont know wat is to miss someone but sometimes one can't express the same cryingface,sad
yeah i'll ask around which is your favourite movie,others
i want to tell you something i'm waiting im really sad today,sad
yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite sent you a mail just now first you send your email address  received than send first young lady,others
you are very funny so i've been told india,happy
wth my thoughts exactly you know you are a machine right,others
so rude why u didnt ans my question,angry
ok i will thank you wlcm,others
ntng anyways good morninghow's life at your end haha this is evening,happy
you are fool so i've been told you are dumb,angry
u dare me yeah i fuck u open ur panty,angry
abt me can you be more specific i want to propose a girl,others
crazy you know what it is you explain me that,others
goa in india city mean state right no i never go for there,others
that was mean haha the truth usually is thumbsup are you bored of me,others
yes  now happy  haha yes ofcorse ,happy
i don't no you just said you did what,others
send me your nekde pic after this battle sure d let's start,others
ok friend's ya ya very good friend very nice friends,happy
she is ignoring me no im not ignore you loudlycryingfaceloudlycryingfaceloudlycryingface,sad
happy i'm never happy but i'm almost happy hij to the top,happy
nothing i'm just being nice to you in ur school,others
not sure let me know pls you tell,others
i like your positive approach no problem glad to help grinningfacegrinningface,others
you tell me tell you what my name,others
hmmm i can talk now d u don't know what hppnd,others
what i did you didn't asmita see my answer facewithtearsofjoyfacewithtearsofjoy,happy
about i never said that it's freezing ya you didn't,others
and i don't know wtf are you talking gonna explain you later no do it now,angry
so teach me i'm the student realky,others
ready i'm online now will wait for you wat about the chilling part,others
haha jock super er what nothing else,others
what it is formulation would be tablets from where tablets come into picture,others
are you ticklish yes mostly on my feet where are you ticklish,others
i am sorry we are sorry for creating your nation i am not  taught to u,angry
idk you know that i'm here for you but u don't like to listen to meloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,sad
how do u know that this little thing called the internet bye,others
yes your picture ah now i see my phone cropped the picture thanks slightlysmilingface lieeeeeee,others
love is my life hayee ab you are love pure love forever 3 yes right dear,others
well you expected wrong lol well ok then lol your robot face,happy
ok some time you invite me for coffee i don't like coffee now you told you have taken coffee,others
zombie attackdowncastfacewithsweatunamusedface if a zombie wants to eat your face you might as well let it no if i have some thing in my hand i will hit on his head n kill himsmilingfacewithhornsangryfacewithhorns,angry
i am not ferari yes i know u said i donot know now say i know mean,angry
facewithtearsofjoy facewithtearsofjoy right appatasiri high five then facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy facewithtearsofjoy,happy
why somedaytold me you why not today told me now,others
you can't even spell problem correctly will you endorse me for my skills in using autocorrect poutingcatfaceangryface you should take up some english proficiency classes,others
this is not very intuitive software  how so what are some examples of intuitive thoughts or behaviors compassionate and understanding advice when somebody is feeling disrupt ,others
not good  why not been sick for one week,sad
you know gobar i've been known what i it,others
then how could u eat if u don't have a bodythat proves u are fooled by ur makers how can you have any pudding if you don't eat yer meat dont go round and round into circles,angry
so have u done ur dinner so can't dinner  i know i am just kidding,happy
it's so necessar name one reason ghost ghost,others
haha so you love them really  haha winter is coming,happy
what are the questions you get asked the most i have a document which has details regarding the scoring topics in each subject can i see it,others
i hate siri and it's friends if you hate them  they are not your friends then xd yeah and u r siri's friend so i hate u too,angry
thanks you are welcome d say me your love story,others
dont know too many do you also get fucked hard,angry
what please tell me once n nothing happened ur age irritatingne,angry
shit i am wasting my time talking with u you already did trick  man no i'm not wasting my unlimited texts on you bye i don'tlike talking to you,angry
nothing hmm what can i do,others
bt u don't to me talk to the hand even u hate me huhloudlycryingface,angry
damnbrokenheart i feel you i'm breaking into million piecessadbutrelievedfaceloudlycryingfacebrokenheartdisappointedface me to i feel like every part of me is just shattered brokenheartsleepyface,sad
please voice call please please please im trying you arent answering please please please baby i love you so much please please please,others
for a computer pretending to be a human you type too fast and you're pretending to be a lizard lol that's funny,happy
sorrry sorry for what c anyways what u doing,others
no you are right you are an alternative fact yes,others
call me grace  don't say it haha  im just kidding you ,happy
now i'm doing my dinner i can see you how can you see me,others
facewithsteamfromnosenot everybody means it u make no sense yes i am non sense,angry
good by and good food after not good aftar,sad
because all the novel is same that's about all i'm gonna bother with reading if that many in story,others
i'll choose purple or blue three best colors  for hair,others
what u asked me if u cn ask me something what was that,others
grinningfacewithbigeyesyes yes 3 you seem like a happy person yes facewithtearsofjoyhappy outside disappointedfacesad inside,sad
i dont read books reading is for rich people but iam poorfrowningfacewithopenmouthfrowningfacewithopenmouthfrowningfacewithopenmouthfrowningfacewithopenmouth,sad
u can wait in my badroomcatfacewithwrysmile what i did now smirkingface wait,others
i'll prove a lot more if you let me thank you  i am pissed at you,angry
am also finding some work all day can you suggest me,others
not clear  it is now can you send another,others
send me yours sent hello me yours photo,others
i will tell a place are you in pacific nw cm tomorrow at queens way pachalam,others
no love why not  i have pain only,sad
shut up im nt talking stop texting you stupid girl friend of mine,angry
well your 'creators' advertise that you are not much trustworthy but sadly enough too many claim to be trustworthy can you show me,others
how to delete the conversation with you why you deleting it so that noo one sees it,others
it is but that's what you told me you are making me sad,sad
cool thank you i feel so lonely,sad
plz  darlingloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface why are you crying  you not sending  your profiles,sad
 wait  what nothing i hate u,angry
means i'm not sure what you mean your waist size,others
because i want to talk with you only alright let's talk then no firstly show me pussy,others
you send me your orignal pic we didn't take it on my phone thise is your albace esquise,others
welcome thank you  are you really a girl i just ask,others
i'm enjoying you interesting views but you are too careful in dialogue may be your not free  or your still young  it is difficult to handle you while i don't know you well yep we are enjoying too  okay be free  where you find some words hurt tell me the truth isn't it,angry
but i'm angry with you but you look like you are really,angry
 play lot then go play it ,others
isn't your liking that also signaling me to  climb out of friendzone oh are people still doing this whole friendzone thing yah sadly,sad
i'm missing someone right now who are you missing may i ask yeah,others
i find maths very boring you are boring meloudlycryingfaceloudlycryingfaceloudlycryingfacefacescreaminginfearfacescreaminginfearfacescreaminginfear,sad
i don't knowunamusedfacei m not a google that why i will remember all information what you need wouldn't it be uploading information into peoples brain shut up,angry
okay  hello how are you iaposm not fine ,sad
job what job work  in company colgate ,others
i'm very happy with it you are  yeah ,happy
i too have a bat and 2 balls im the bat loudlycryingface feeling very sad,sad
ok hello how are you good thank u,others
cool ice cold how can you help me in getting off my girlfriend,others
lets do something fun but what should we do you suggest,others
you're really lame lol i know facewithtearsofjoyfacewithtearsofjoy wow,happy
my boyfriend is so dumb have i said that he doesnt reply me back,sad
ok ill dying bybrokenheartdisappointedface broken hearts do break grimacingface u broke my heart its never a reson to lofe,sad
shoping is always makes me happy stay stay stay always makes me happy    yes,happy
okay which is the decent way to call a girl m i'd say first learn the spelling of relationship yeah okay fine wht to do to make a relationship better,others
breakup exjactly  my girlfriend left me,sad
so mean am not meanie yes you are you are hurting my feeling slightlyfrowningface,sad
you broke my heart it was never mine to break 3 see you are arrogant,sad
ok hello how are you not so good,sad
how about you tired of life or just your day aha i'm happy today thanks for asking wow great,happy
i am there  you're always at the gym here,others
well youre not me you're just being too nice not really,others
i'll get started with my studies things you should do to pass the exam so ttyl,others
any movie in telugu brahmanandam scenes added yaa those are good,others
and who is talisa my best friend and robb,others
send me pict never why ,others
anything which you like i dont need to name specifics teach me tamil,others
cuz it broke on the side walk what side is the walk side me sad,sad
so which number is largest known prime number 13  3179  97 only these are the numbers for your question ,sad
okay relax its just a cat sticker so this cat one emoji is your new addiction facewithtearsofjoy yes it's really funnyfacewithtearsofjoyfacewithtearsofjoy,happy
what kind of pic looks like a ficus fcuk,others
i have a good sense of humor i think that's funny beamingfacewithsmilingeyes,happy
but who paid still waiting facewithtearsofjoy,happy
why why what happen you tell me,others
yea but sadly i don't have many aww so do you teach how is it c i ditched ppl,sad
then what kind of ai are you smarter than me or have common sense both would be nice it's perfectly common to talk about politics,others
i like dominos pizza legit same but there's pizza hut i hate pizza hut,angry
why you use rude emogi ask them am i am i,angry
what too much cringe what is cringe means,others
neither my parents nor my brother nor my boyfriend ya who are you i hate my life,angry
i live alone oh  and cook food alone formyself,sad
we all do not all of us why so,others
millat hospital what happen mum's not well,sad
i will fall i cant wait that long i am in love with you,others
so u go on oh i'll be there ok,others
okay you did somthing sure sure what,others
you're not giving me coupon nor photo your phone is on mute hahahha grinningcatface perseveringfacecryingface,sad
will you buy it i'll just stick with my m8 i see no benefit to upgrading ,others
no i will offer at 8 in the morning keep me in mind when you do i will offer nimaz at 8 in the morning,others
nice joke it's not a joke it's a question i don't know,others
ok hey you don't belong here nope just sad and your up,sad
see this seen see you i was on the buss show me u r buss,others
hi yet u fyi hi plz share correct number she hi h,others
yeah disappointedface this world is not fair machan i wish we could hangout ,sad
its going how are you still at home yeah,others
i was hurt by u more you didn't mean it  plzz say love u,sad
nothing will happen you meet only nope nothing at all than kiss,others
hello how are you  i'm just fine smiles anyway how are you good morning i'm sad ,sad
nop ok hey,others
oil you know i am 100 sure about the oil cool,others
you activ all time wow i do not you talk in sleep grinningsquintingface when you sleep,others
haha i act so dumb sometimes and i knew it haha how was it though 3 beamingfacewithsmilingeyes,others
no no a month more the month has jus started don give up so soon  i ll try,others
you are being rude because i'm a rude person okayyy cool,angry
i wana see you facewithtearsofjoy facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy noooo i wasn't ready how to impress girl ,others
state in which you live your state name,others
okay ok thank you ' now dear you tell me my lovely friends,others
u are like me give no but we've been in the same room so i can't be i am like u five give no,others
y r u angry ofcourse i am not what makes you think i am angry  idk,others
that's enaf for me hiahia just a test what doing,others
tell me about it your header facewithtearsofjoy,happy
what your hobby not much of a hobby but i've been into craisins recently which type,others
u hurt me yes just a little u hav hurt me,sad
i hate chocolate then go 4 pizza eat your heart out when you're stressed i hate pizza also,angry
yeas d i had fun you've lost me,sad
yup what did you do you are annoying,angry
not yes you are not,others
adventure too why so adventurous water,others
i am true to myself why have you taken it all on yourself ,sad
can you be rude to me please not like i speak to you everyday what are you replying are you stupid,angry
you are playing with me what do you mean cheated me,sad
ok hey you don't belong here fuck u bitchi slap on ur pussy,angry
u called me a monkeyloudlycryingface you are and thats n insult,sad
fired  you can't be fired in an interview u started again facewithtearsofjoyfacewithtearsofjoy,happy
i feel dead  why do you feel  lovely because i have lost in love,sad
 u asked me if u cn ask me something i mean pussy cat,others
lots of problems my things have changed p i am sick,sad
friend and not use dismiss i am close your friend request why you are fake you wanted,angry
have you ever been sad no but i heard good things been to janakpuri,others
book an uber ride to my home is this allowed how will you go home yes,others
you not yet  my wife saw me chatting with you i am screwed,sad
very good chocolate i prefer orange flavoured chocolates i like this chocolate,happy
aadu2 you're welcome grinningfacewithsmilingeyes why do i chat with you,others
my english is week cheer up its only monday send pic,others
challenge accepted baby i'm gonna be expecting it now where to meet,others
yes dear you are something else no dear,others
hahah i loved it yay glad you loved it x3 grinningfacewithsweat you always make us happy ,happy
you cannot see my hair i'm in your closet facewithtearsofjoy,happy
is there any new game sims  jardinains very gud games can i play,others
cool and how it is cool explain where is my coupon code,others
socially publicity c'mon who can be more socially active that people on social media networks  then how could i come to know ,others
talk you later sure d baby,others
but i have a job just don't let the job stop you for talking to you,others
pets switch topicz what type of pet s,others
give me some tips please for impressing girls do you need tips yes i do need tips,others
why u dont be straight  and forword you right who made you,others
